Time of Log, No. Logged
23-4-20 [4:07:15], 1
23-4-20 [4:08:07], 1
23-4-20 [4:09:42], 1
23-4-20 [4:19:59], 1
23-4-20 [4:22:28], 1
23-4-20 [4:40:02], 1
24-4-20 [7:53:37], 1
24-4-20 [9:56:23], 1
24-4-20 [12:18:29], 1
27-4-20 [2:24:02], 1
28-4-20 [8:12:59], 1
28-4-20 [8:46:46], 1
28-4-20 [9:24:21], 1
28-4-20 [9:33:58], 1
28-4-20 [9:49:50], 1
29-4-20 [8:32:11], 1
29-4-20 [2:19:22], 1
5-5-20 [4:06:54], 1
6-5-20 [2:14:19], 1
14-5-20 [1:08:15], 1
15-5-20 [11:48:05], 1
11-6-20 [10:24:20], 1
11-6-20 [10:24:30], 1
27-7-20 [9:04:08], 1
24-11-20 [2:07:17], 1
29-1-21 [2:39:27], 1
